Tileset	name	TileNum	averageWoodValue	averageStoneValue	averageFoodValue	bonusWood	bonusStone	bonusFood	constructionCost	defensiveValue	offensiveValue	scryValue	obscureValue	movecost	land	air	sea	tunnel	road	bridge
darkGreenTile	Woods	1	100	10	50	100	10	30	1.5	1.5	1	1	5	2	0	0	1	1	1	0
greenTile	Light Woods	2	90	10	70	60	10	60	1.2	1.2	1	2	3	1	0	0	1	1	1	0
lightGreenTile	Grasslands	3	50	30	100	10	10	100	1	1	1	3	2	1	0	0	1	1	1	0
purpleGrayTile	Mountains	4	10	100	10	10	100	10	4	2	2	6	1	4	0	1	1	1	0	0
grayTile	Stone Hills	5	10	100	10	10	100	10	2.5	1.5	1.5	5	2	3	0	0	1	1	1	0
lightBrownTile	Low Hills	6	60	60	60	10	30	30	1.5	1.2	1.2	4	3	2	0	0	1	1	1	0
brownTile	Rough Hills	7	30	70	60	20	50	20	2.5	1.5	1.5	5	3	2	0	0	1	1	1	0
orangeBrownTile	Wooded Hills	8	70	40	60	70	10	30	2	1.5	1.2	2	5	2	0	0	1	1	1	0
blueGrayTile	Swamp	9	20	10	30	10	10	10	3	0.8	0.8	3	5	3	0	0	1	1	1	0
blueTile	Water	10	0	0	100	0	0	100	1	0.8	1	3	1	1	1	0	0	0	0	1
